name,type,imdb_score,genre,encoded_type,encoded_genre
Anacia Weiskittel,MOVIE,5.3,fantasy,0,8
Nikki Whitfield,MOVIE,5.3,fantasy,0,8
Kimberly Wolfe,MOVIE,5.3,fantasy,0,8
Kristen Fick,MOVIE,5.3,fantasy,0,8
David Horn,MOVIE,5.3,fantasy,0,8
Robert 'Roby' Hutchinson,MOVIE,5.3,fantasy,0,8
Keith Jefferson,MOVIE,5.3,fantasy,0,8
Dave Lawrence,MOVIE,5.3,fantasy,0,8
Brian Patterson,MOVIE,5.3,fantasy,0,8
Cynthia Shope,MOVIE,5.3,fantasy,0,8
Frank Welker,MOVIE,5.3,fantasy,0,8
Rachel Talalay,MOVIE,5.3,fantasy,0,8
Trevor Noah,SHOW,8.3,comedy,1,3
Michael Kosta,SHOW,8.3,comedy,1,3
Desi Lydic,SHOW,8.3,comedy,1,3
Roy Wood Jr.,SHOW,8.3,comedy,1,3
Raul Julia,MOVIE,6.9,comedy,0,3
Anjelica Huston,MOVIE,6.9,comedy,0,3
Christopher Lloyd,MOVIE,6.9,comedy,0,3
Christina Ricci,MOVIE,6.9,comedy,0,3
Carel Struycken,MOVIE,6.9,comedy,0,3
Dan Hedaya,MOVIE,6.9,comedy,0,3
Jimmy Workman,MOVIE,6.9,comedy,0,3
Elizabeth Wilson,MOVIE,6.9,comedy,0,3
Dana Ivey,MOVIE,6.9,comedy,0,3
Judith Malina,MOVIE,6.9,comedy,0,3
Paul Benedict,MOVIE,6.9,comedy,0,3
Christopher Hart,MOVIE,6.9,comedy,0,3
John Franklin,MOVIE,6.9,comedy,0,3
Tony Azito,MOVIE,6.9,comedy,0,3
Mercedes McNab,MOVIE,6.9,comedy,0,3
Douglas Brian Martin,MOVIE,6.9,comedy,0,3
Steven M. Martin,MOVIE,6.9,comedy,0,3
Maureen Sue Levin,MOVIE,6.9,comedy,0,3
Darlene Levin,MOVIE,6.9,comedy,0,3
Allegra Kent,MOVIE,6.9,comedy,0,3
Richard Korthaze,MOVIE,6.9,comedy,0,3
Ryan Holihan,MOVIE,6.9,comedy,0,3
Kate McGregor-Stewart,MOVIE,6.9,comedy,0,3
Lela Ivey,MOVIE,6.9,comedy,0,3
Whit Hertford,MOVIE,6.9,comedy,0,3
Patty Maloney,MOVIE,6.9,comedy,0,3
Victoria Hall,MOVIE,6.9,comedy,0,3
Jimmy Ross,MOVIE,6.9,comedy,0,3
Ryan Anderson,MOVIE,6.9,comedy,0,3
Daniel Pikus,MOVIE,6.9,comedy,0,3
Michael Hittesdorf,MOVIE,6.9,comedy,0,3
Valerie C. Walker,MOVIE,6.9,comedy,0,3
Joe Zimmerman,MOVIE,6.9,comedy,0,3
Steve Welles,MOVIE,6.9,comedy,0,3
Eugene Jackson,MOVIE,6.9,comedy,0,3
Richard Tanner,MOVIE,6.9,comedy,0,3
Marc Shaiman,MOVIE,6.9,comedy,0,3
Jonathan Wee,MOVIE,6.9,comedy,0,3
Owen Morse,MOVIE,6.9,comedy,0,3
Sally Jessy Raphael,MOVIE,6.9,comedy,0,3
Benny Wills,MOVIE,6.9,comedy,0,3
Lauren Walker,MOVIE,6.9,comedy,0,3
Barry Sonnenfeld,MOVIE,6.9,comedy,0,3
Kathleen Herles,SHOW,4.2,action,1,1
Marc Weiner,SHOW,4.2,action,1,1
Caitlin Sanchez,SHOW,4.2,action,1,1
Ashley Flemming,SHOW,4.2,action,1,1
Fátima Ptacek,SHOW,4.2,action,1,1
Jacob Medrano,SHOW,4.2,action,1,1
Alexandria Suarez,SHOW,4.2,action,1,1
Breanna Lakatos,SHOW,4.2,action,1,1
Jose Zelaya,SHOW,4.2,action,1,1
Dolly Peter Lopes,SHOW,4.2,action,1,1
Goldie Hawn,MOVIE,6.4,comedy,0,3
Bette Midler,MOVIE,6.4,comedy,0,3
Diane Keaton,MOVIE,6.4,comedy,0,3
Maggie Smith,MOVIE,6.4,comedy,0,3
Sarah Jessica Parker,MOVIE,6.4,comedy,0,3
Dan Hedaya,MOVIE,6.4,comedy,0,3
Stockard Channing,MOVIE,6.4,comedy,0,3
Victor Garber,MOVIE,6.4,comedy,0,3
Stephen Collins,MOVIE,6.4,comedy,0,3
Elizabeth Berkley,MOVIE,6.4,comedy,0,3
Marcia Gay Harden,MOVIE,6.4,comedy,0,3
Bronson Pinchot,MOVIE,6.4,comedy,0,3
Jennifer Dundas,MOVIE,6.4,comedy,0,3
Eileen Heckart,MOVIE,6.4,comedy,0,3
Philip Bosco,MOVIE,6.4,comedy,0,3
Rob Reiner,MOVIE,6.4,comedy,0,3
James Naughton,MOVIE,6.4,comedy,0,3
Ari Greenberg,MOVIE,6.4,comedy,0,3
Ivana Trump,MOVIE,6.4,comedy,0,3
Kathie Lee Gifford,MOVIE,6.4,comedy,0,3
Gloria Steinem,MOVIE,6.4,comedy,0,3
Lea DeLaria,MOVIE,6.4,comedy,0,3
Debra Monk,MOVIE,6.4,comedy,0,3
Kate Burton,MOVIE,6.4,comedy,0,3
Timothy Olyphant,MOVIE,6.4,comedy,0,3
J.K. Simmons,MOVIE,6.4,comedy,0,3
Michele Brilliant,MOVIE,6.4,comedy,0,3
Dina Spybey-Waters,MOVIE,6.4,comedy,0,3
Adria Tennor,MOVIE,6.4,comedy,0,3
Juliehera DeStefano,MOVIE,6.4,comedy,0,3
Heather Locklear,MOVIE,6.4,comedy,0,3
J. Smith-Cameron,MOVIE,6.4,comedy,0,3
Hugh Wilson,MOVIE,6.4,comedy,0,3
Trey Parker,MOVIE,7.7,comedy,0,3
Matt Stone,MOVIE,7.7,comedy,0,3
Mary Kay Bergman,MOVIE,7.7,comedy,0,3
Isaac Hayes,MOVIE,7.7,comedy,0,3
Jesse Brant Howell,MOVIE,7.7,comedy,0,3
Anthony Cross-Thomas,MOVIE,7.7,comedy,0,3
Franchesca Clifford,MOVIE,7.7,comedy,0,3
Bruce Howell,MOVIE,7.7,comedy,0,3
Deb Adair,MOVIE,7.7,comedy,0,3
Jennifer Howell,MOVIE,7.7,comedy,0,3
George Clooney,MOVIE,7.7,comedy,0,3
Brent Spiner,MOVIE,7.7,comedy,0,3
Minnie Driver,MOVIE,7.7,comedy,0,3
