release_year,imdb_score,encoded_type,encoded_genre
1978,2.3,0,14
1966,5.1,0,3
1963,5.3,0,3
1970,5.6,0,18
1975,5.7,0,6
1970,5.1,0,17
1957,5.7,0,8
1955,5.7,0,6
1956,7.7,0,6
1971,6.2,0,6
1970,6.7,0,1
1974,5.5,0,7
1951,6.5,0,13
1965,4.7,0,13
1953,5.7,0,6
1965,4.8,0,4
1966,5.4,0,3
1955,3.6,0,14
1964,5.4,0,13
1967,5.3,0,6
1958,2.3,0,8
1953,6.0,0,13
1953,6.0,0,6
1963,6.3,0,6
1970,4.2,0,10
1979,5.7,0,6
1962,4.5,0,3
1976,5.5,0,4
1968,7.6,0,5
1961,5.4,0,6
1976,5.1,0,6
1965,5.2,0,13
1951,5.8,0,18
1970,4.4,0,3
1957,6.2,0,5
1969,4.9,0,3
1967,5.5,0,3
1968,3.2,0,14
1954,5.7,0,6
1978,4.8,0,3
1969,6.6,0,6
1956,5.9,0,16
1953,6.5,0,6
1967,3.8,0,8
1977,4.3,0,3
1960,7.1,0,9
1976,6.0,0,6
1954,6.5,0,6
1964,5.3,0,13
1956,5.9,0,3
1965,3.8,0,8
1978,5.3,0,16
1952,6.0,0,6
1957,6.3,0,1
1980,5.3,0,6
1967,6.4,0,6
1957,4.7,0,10
1956,5.2,0,18
1970,5.5,0,6
1956,6.4,0,16
1980,6.5,0,13
1975,6.1,0,6
1954,5.8,0,3
1951,6.4,0,6
1974,3.3,0,6
1970,5.9,0,6
1966,4.9,0,8
1957,5.2,0,6
1953,6.4,0,18
1978,1.8,0,10
1954,5.7,0,17
1957,5.9,0,18
1969,4.3,0,3
1976,5.3,0,6
1966,5.0,0,3
1970,6.7,0,8
1970,5.2,0,3
1971,5.7,0,6
1966,5.6,0,6
1964,5.1,0,13
1952,6.1,0,13
1969,6.4,0,6
1955,5.2,0,18
1954,4.4,0,1
1952,4.2,0,6
1957,5.7,0,18
1970,5.7,0,5
1959,5.3,0,16
1972,3.5,0,3
1969,5.5,0,1
1955,4.1,0,1
1951,5.6,0,13
1973,5.2,0,6
1974,5.5,0,18
1971,5.4,0,16
1969,6.5,0,5
1956,4.2,0,18
1978,5.0,0,4
1953,5.8,0,6
1965,5.6,0,18
1980,5.4,0,15
1956,3.4,0,6
1978,6.6,0,6
1969,5.8,0,6
1975,4.8,0,1
1974,5.7,0,3
1970,6.9,0,5
1961,5.1,0,18
1969,5.0,0,4
1953,4.0,0,18
1965,5.9,0,3
1953,5.6,0,1
1956,5.1,0,1
1962,4.1,0,16
1963,6.0,0,3
1971,6.1,0,6
1957,5.8,0,18
1970,5.1,0,16
1974,5.9,0,6
1956,5.4,0,13
1953,4.6,0,1
1977,7.0,0,6
